song,artist,lyrics,year,mood
I'd Be Better Off (In a Pine Box),Doug Stone,"I said the night you left me
Nothin' worse could ever happen
But seeing you with someone else proved that I was wrong
And when your eyes met mine
I knew that you were gone forever
Along with all the reasons, I had for hanging on
I'd be better off in a pine box
On a slow train back to Georgia
Or in the grey walls of a prison doing time
I think I'd rather die
And go to hell and face the devil
Than to lie here with you and him together on my mind

I always thought that someday
We might get back together
I just thought you needed time to spread your wings and fly
But when I saw the lovin' way
You held onto each other
It was all that I could do, not to break right down and cry

I'd be better off in a pine box
On a slow train back to Georgia
Or in the grey walls of a prison doing time
I think I'd rather die
And go to hell and face the devil
Than to lie here with you and him together on my mind

Girl I'd be better off in a pine box
On a slow train back from Georgia
Or in the grey walls of a prison doing time
I think I'd rather die
And go to hell and face the devil
Than to lie here with you and him together on my mind

I can't lie here with you and him together on my mind",1990,sad
Space Bound,Eminem,"We touch I feel a rush
We clutch it isn't much
But it's enough to make me wonder what's in store for us
It's lust, it's torturous
You must be a sorceress 'cause you just
Did the impossible
Gained my trust don't play games it'll be dangerous
If you fuck me over
'Cause if I get burnt I'mma show you what it's like to hurt
'Cause I've been treated like dirt before you
And love is ""evol""
Spell it backwards I'll show you

Nobody knows me I'm cold
Walk down this road all alone
It's no one's fault but my own
It's the path I've chosen to go
Frozen as snow I show no emotion whatsoever so
Don't ask me why I have no love for these motherfucking ho's
Bloodsucking succubuses, what the fuck is up with this?
I've tried in this department but I ain't had no luck with this
It sucks but it's exactly what I thought it would be
Like trying to start over
I got a hole in my heart, but some kind of emotional roller coaster
Something I won't go on 'til you toy with my emotions, so it's over
It's like an explosion every time I hold you, I wasn't joking when I told you
You take my breath away
You're a supernova... and I'm a

I'm a space bound rocket ship and your heart's the moon
And I'm aiming right at you
Right at you
Two hundred fifty thousand miles on a clear night in June
And I'm aiming right at you
Right at you
Right at you

I'll do whatever it takes
When I'm with you I get the shakes
My body aches when I ain't
With you I have zero strength
There's no limit on how far I would go
No boundaries, no lengths
Why do we say that until we get that person that we think's
Gonna be that one and then once we get 'em it's never the same?
You want them when they don't want you
Soon as they do feelings change
It's not a contest and I ain't on no conquest for no mate
I wasn't looking when I stumbled onto you must've been fate
But so much is at stake what the fuck does it take
Let's cut to the chase
'Fore a door shuts in your face
Promise me if I cave in and break and leave myself open
That I won't be making a mistake
Cause I'm a...

I'm a space bound rocket ship and your heart's the moon
And I'm aiming right at you
Right at you
Two hundred fifty thousand miles on a clear night in June
And I'm aiming right at you
Right at you
Right at you

So after a year and six months, it's no longer me that you want
But I love you so much it hurts
Never mistreated you once
I poured my heart out to you
Let down my guard swear to God
I'll blow my brains in your lap
Lay here and die in your arms
Drop to my knees and I'm pleading
I'm trying to stop you from leaving
You won't even listen so fuck it
I'm trying to stop you from breathing
I put both hands on your throat
I sit on top of you squeezing
'Til I snap your neck like a Popsicle stick
Ain't no possible reason I could think of to let you walk up out this house
And let you live
Tears stream down both of my cheeks
Then I let you go and just give
And before I put that gun to my temple
I told you this

And I would have did anything for you
To show you how much I adored you
But it's over now
It's too late to save our love
Just promise me you'll think of me every time you look up in the sky and see a star 'cause I'm a...

I'm a space bound rocket ship and your heart's the moon
And I'm aiming right at you
Right at you
Two hundred fifty thousand miles on a clear night in June
And I'm so lost without you
Without you
Without you",2010,sad
Dizzy,Ours,"We ran
We starved the things
That feel
Outback
The drunken waters steal from me

If we beat him down, will he stay?
He's a little dizzy
I feel it starting to take me
Where did everybody go?
I need them now
To save me

We fell, when they choked the things that feed
How come... we hurt the one's we need?
Lay down, and stretch upon the sea

If we beat him down, will he stay?
He's a little dizzy
I feel it starting to take me
Where did everybody go?
I need them now
If we beat him down... will he stay?",2001,sad
Someone Wake Me Up,The Veronicas,"We got the same friends
We're gonna have to see each other eventually
So won't you tell me how we're gonna deal with that
(how we're gonna deal with that, how we're gonna deal with that)
My CD's are at your place
And you know I'm gonna have to pick 'em up
So won't you tell me how we're gonna deal with that
(how we're gonna deal with that, how we're gonna deal with that)

Even though it was mutual, it still kills inside
'Cause for so long, how I've been defined

It feels just like I'm going crazy
I guess that this is breaking up
And now not even you can save me
Will someone wake me up?
(Someone wake me up)
Never thought that we'd go under
I guess we won't be making up
And if this is a dream I wonder,
Could someone wake me up?
(Someone wake me up)

I still have your old shirt
You know the one I said I'd thrown away?
I put it on when I went to bed last night
(I went to bed last night, I went to bed last night)
Baby, is this where our story ends
When I turn out the light
Fantasy and reality fight

It feels just like I'm going crazy
I guess that this is breaking up
And now not even you can save me
Will someone wake me up?
(Someone wake me up)
Never thought that we'd go under
I guess we won't be making up
And if this is a dream I wonder,
Could someone wake me up?
(Someone wake me up)

Someone wake me up

Even though it's over now, it still kills inside 
'Cause for so long you have been my life

(Someone wake me up, someone wake me up)

It feels just like I'm going crazy
I guess that this is breaking up
And now not even you can save me
Will someone wake me up?
(Someone wake me up)
Never thought that we'd go under
I guess we won't be making up
And if this is a dream I wonder,
Could someone wake me up?
(Someone wake me up)

oh, baby you were my first time
I will always keep you inside

(Someone wake me up, someone wake me up)
Someone wake me up
(Someone wake me up, someone wake me up)
Someone wake me up",2007,sad
A Different Kind of Pain,Cold,"Before I let you go
Give me just one more night to show you
Just how I feel
I lost all my control
If it takes my whole damn life
I'll make this up to you

Kind of like the waves
That roll their whole life towards somewhere
Crashing on the shore
It's blown in by the wind
that carries the clouds to hide
My wish on a fallen star

[x2]
A different kind of pain
Is someone there to hold you?
Is someone there to take you away from me?

I tried to let you go
I wish I could turn back time and show
You just how I feel
I needed you to know
If it takes my whole damn life
I'll make this up to you

Kind of like the waves
That roll their whole life towards somewhere
Crashing on the shore
It's blown in by the wind
That carries the clouds to hide
My wish on a fallen star

[x2]
A different kind of pain
Is someone there to hold you?
Is someone there to take you away from me?

Before you let me go away [x3]
Before you let me go
I need you to know

[x2]
A different kind of pain
Is someone there that to hold you?
Is someone there to take you away from me?

A different kind of pain
It's a different kind of pain
A different kind of pain

It's a different kind of pain [x6]
It's a different kind of",2005,sad
You Would Have Loved This,Tarja,"The winter left her blanket
here this morning
A soft and gentle coverlet of white
Unfolded in the shadows of the dawn
It Sparked in the early morning light
You would have loved this
You would have loved this
This was your favorite time of day
The greenery is laid across the mantle
And ornaments are hanging on the tree
And cradled in the windowsill's a candle
A beacon in the night
to call you back to me
You would have loved this
You always loved this
I know you loved this time of year
And though I understand
One day again I'll see you
I long to touch your hand,
hear your voice, feel you
You would have loved this
You always loved this
Oh, how you loved.",2006,sad
All I Need,Christina Aguilera,"Kissing your lips, kissing you top to toe
Wishing for this, hoping for all we know
Hearing you breathe, you leave and return
Oh, how we take, how we give we learn

Taking my time, seeing the signs
Letting you guide me home
Watching you grow, letting you know
You are my only

You bring me hope when I can't breathe
You give me love, you're all I need
Slowly I'm holding you closely
You're wrapped in my arms and you're inside me

Tell you my fears, telling you everything
Telling the truth to you gives me wings
Free with my words, free as a bird
I am flying high looking at you
Everything new, you are my life

You bring me hope when I can't breathe
You give me love, you're all I need
Slowly I'm holding you closely
So happy to carry you inside me

I'll feed you, love, and I hope it's enough
To inspire you through suffering, holding you up

You bring me hope when I can't breathe
You give me love, you're all I need
Slowly I'm holding you closely
You're wrapped in my arms and you're inside me",2010,sad
Love You Better,Oh Land,"I will love you better
Better when I'm old
I will love you better when I'm old
I will wrap my arms around you
And keep you from the cold
I will love you better when I'm old

I will love you better
Better when I'm blind
I will love you better when I'm blind
âCause you'll always be a beauty
Living in my mind
I will love you better when I'm blind

When the rain is falling on the roof
And the stars are hid from view
When the moon is just a scar of light
And the sky, a purple bruise
I will wait here in the window
âTil you come back again
I will love you better then

I will love you better
Better when I'm gone
I will love you better when I'm gone
You'll be filling out the quiet
Playing like a song
I will love you better when I'm gone

When the world is frozen over
And the oceans are on fire
When the darkness overpowers light
And the angels muted choir
I will hide here in the meadows
âTil you find me again
I will love you better then

I will love you best
Best when I forgive
I will love you best when I forgive
Cause you made your promises
Not a one of them you kept
I will love you best when I forget, when I forget
I will love you better then",2013,sad
Alexandra Leaving,Leonard Cohen,"Suddenly the night has grown colder
The god of love preparing to depart
Alexandra hoisted on his shoulder
They slip between the sentries of the heart

Upheld by the simplicities of pleasure
They gain the light, they formlessly entwine
And radiant beyond your widest measure
They fall among the voices and the wine

Itâs not a trick, your senses all deceiving
A fitful dream, the morning will exhaust â
Say goodbye to Alexandra leaving
Then say goodbye to Alexandra lost

Even though she sleeps upon your satin
Even though she wakes you with a kiss
Do not say the moment was imagined
Do not stoop to strategies like this

As someone long prepared for this to happen
Go firmly to the window. Drink it in
Exquisite music. Alexandra laughing
Your first commitments tangible again

And you who had the honor of her evening
And by that honor had your own restored â
Say goodbye to Alexandra leaving
Alexandra leaving with her lord

Even though she sleeps upon your satin
Even though she wakes you with a kiss
Do not say the moment was imagined
Do not stoop to strategies like this

As someone long prepared for the occasion
In full command of every plan you wrecked â
Do not choose a cowardâs explanation
that hides behind the cause and the effect

And you who were bewildered by a meaning
Whose code was broken, crucifix uncrossed â
Say goodbye to Alexandra leaving
Then say goodbye to Alexandra lost

Say goodbye to Alexandra leaving
Then say goodbye to Alexandra lost",2001,sad
Take This Waltz,Leonard Cohen,"Now in Vienna there's ten pretty women 
There's a shoulder where Death comes to cry 
There's a lobby with nine hundred windows 
There's a tree where the doves go to die 
There's a piece that was torn from the morning 
And it hangs in the Gallery of Frost 
Ay, Ay, Ay, Ay 
Take this waltz, take this waltz 
Take this waltz with the clamp on its jaws 
Oh I want you, I want you, I want you 
On a chair with a dead magazine 
In the cave at the tip of the lily 
In some hallways where love's never been 
On a bed where the moon has been sweating 
In a cry filled with footsteps and sand 
Ay, Ay, Ay, Ay 
Take this waltz, take this waltz 
Take its broken waist in your hand 

This waltz, this waltz, this waltz, this waltz 
With its very own breath of brandy and Death 
Dragging its tail in the sea 

There's a concert hall in Vienna 
Where your mouth had a thousand reviews 
There's a bar where the boys have stopped talking 
They've been sentenced to death by the blues 
Ah, but who is it climbs to your picture 
With a garland of freshly cut tears? 
Ay, Ay, Ay, Ay 
Take this waltz, take this waltz 
Take this waltz it's been dying for years 

There's an attic where children are playing 
Where I've got to lie down with you soon 
In a dream of Hungarian lanterns 
In the mist of some sweet afternoon 
And I'll see what you've chained to your sorrow 
All your sheep and your lilies of snow 
Ay, Ay, Ay, Ay 
Take this waltz, take this waltz 
With its ""I'll never forget you, you know!"" 

This waltz, this waltz, this waltz, this waltz ... 

And I'll dance with you in Vienna 
I'll be wearing a river's disguise 
The hyacinth wild on my shoulder, 
My mouth on the dew of your thighs 
And I'll bury my soul in a scrapbook, 
With the photographs there, and the moss 
And I'll yield to the flood of your beauty 
My cheap violin and my cross 
And you'll carry me down on your dancing 
To the pools that you lift on your wrist 
Oh my love, Oh my love 
Take this waltz, take this waltz 
It's yours now. It's all that there is",1988,sad
The Saddest Song,Morphine,"On my first day back, my first day back in town
First day, my first day back in town
The clouds up above, they were hummin' our song
Hummin,' hummin' our song

My biggest fear is if I let you go
You'll come and get me in my sleep
My biggest fear is if I let you go
You'll come and get me in my sleep

Come and get meâ¦

I set my course, sail away from shore
Steady, steady as she goes
A crash in the night, two worlds collide
And when two worlds collide, no one survives
no one survives andâ¦

â¦the reddest of reds, bluest of blues,
the saddest of songs I sing for you andâ¦

â¦My biggest fear is if I let you go
You'll come and get me in my sleep
My biggest fear is if I let you go
You'll come and get me in my sleep

Come and get me
Come and get me in my sleep
Come and get me
Come and get me in my sleep",1992,sad
Waiting for the Miracle,Leonard Cohen,"Baby, I've been waiting, 
I've been waiting night and day. 
I didn't see the time, 
I waited half my life away. 
There were lots of invitations 
and I know you sent me some, 
but I was waiting 
for the miracle, for the miracle to come. 
I know you really loved me. 
but, you see, my hands were tied. 
I know it must have hurt you, 
it must have hurt your pride 
to have to stand beneath my window 
with your bugle and your drum, 
and me I'm up there waiting 
for the miracle, for the miracle to come. 

Ah I don't believe you'd like it, 
You wouldn't like it here. 
There ain't no entertainment 
and the judgements are severe. 
The Maestro says it's Mozart 
but it sounds like bubble gum 
when you're waiting 
for the miracle, for the miracle to come. 

Waiting for the miracle 
There's nothing left to do. 
I haven't been this happy 
since the end of World War II. 

Nothing left to do 
when you know that you've been taken. 
Nothing left to do 
when you're begging for a crumb 
Nothing left to do 
when you've got to go on waiting 
waiting for the miracle to come. 

I dreamed about you, baby. 
It was just the other night. 
Most of you was naked 
Ah but some of you was light. 
The sands of time were falling 
from your fingers and your thumb, 
and you were waiting 
for the miracle, for the miracle to come 

Ah baby, let's get married, 
we've been alone too long. 
Let's be alone together. 
Let's see if we're that strong. 
Yeah let's do something crazy, 
something absolutely wrong 
while we're waiting 
for the miracle, for the miracle to come. 

Nothing left to do ... 

When you've fallen on the highway 
and you're lying in the rain, 
and they ask you how you're doing 
of course you'll say you can't complain -- 
If you're squeezed for information, 
that's when you've got to play it dumb: 
You just say you're out there waiting 
for the miracle, for the miracle to come.",1992,sad
Avalanche,Leonard Cohen,"Well I stepped into an avalanche, 
it covered up my soul; 
when I am not this hunchback that you see, 
I sleep beneath the golden hill. 
You who wish to conquer pain, 
you must learn, learn to serve me well. 
You strike my side by accident 
as you go down for your gold. 
The cripple here that you clothe and feed 
is neither starved nor cold; 
he does not ask for your company, 
not at the centre, the centre of the world. 

When I am on a pedestal, 
you did not raise me there. 
Your laws do not compel me 
to kneel grotesque and bare. 
I myself am the pedestal 
for this ugly hump at which you stare. 

You who wish to conquer pain, 
you must learn what makes me kind; 
the crumbs of love that you offer me, 
they're the crumbs I've left behind. 
Your pain is no credential here, 
it's just the shadow, shadow of my wound. 

I have begun to long for you, 
I who have no greed; 
I have begun to ask for you, 
I who have no need. 
You say you've gone away from me, 
but I can feel you when you breathe. 

Do not dress in those rags for me, 
I know you are not poor; 
you don't love me quite so fiercely now 
when you know that you are not sure, 
it is your turn, beloved, 
it is your flesh that I wear.",1971,sad
The Traitor,Leonard Cohen,"Now the Swan it floated on the English river 
Ah the Rose of High Romance it opened wide 
A sun tanned woman yearned me through the summer 
and the judges watched us from the other side 
I told my mother ""Mother I must leave you 
preserve my room but do not shed a tear 
Should rumour of a shabby ending reach you 
it was half my fault and half the atmosphere"" 

But the Rose I sickened with a scarlet fever 
and the Swan I tempted with a sense of shame 
She said at last I was her finest lover 
and if she withered I would be to blame 

The judges said you missed it by a fraction 
rise up and brace your troops for the attack 
Ah the dreamers ride against the men of action 
Oh see the men of action falling back 

But I lingered on her thighs a fatal moment 
I kissed her lips as though I thirsted still 
My falsity had stung me like a hornet 
The poison sank and it paralysed my will 

I could not move to warn all the younger soldiers 
that they had been deserted from above 
So on battlefields from here to Barcelona 
I'm listed with the enemies of love 

And long ago she said ""I must be leaving, 
Ah but keep my body here to lie upon 
You can move it up and down and when I'm sleeping 
Run some wire through that Rose and wind the Swan"" 

So daily I renew my idle duty 
I touch her here and there -- I know my place 
I kiss her open mouth and I praise her beauty 
and people call me traitor to my face",1979,sad
River of Sorrow,Antony and the Johnsons,"There is a black river
It passes by my window
And late at night
All dolled up like Christ
I walk the water
Between the piers

Singing
Oh, river of sorrow
River of time, river
River of sorrow
Don't swallow this time

For we all know the baby has expired
Long ago she was pulled from the mire
And no precious liar or well-wisher
Can return the love that was stolen

So oh, river of sorrow
River of time, river
River of sorrow
Don't swallow this time

Can you see the light
At the end of the dark passageway?
Take me with you towards the light
Into the darkness passing over the faces in the river
Hear me, I'm whispering in your ear

Oh, river of sorrow
Oh, river of time
River of sorrow
Don't swallow this time

Oh, river of sorrow
Oh, river of time
River of sorrow
Don't swallow this time",2000,sad
Black Wave/Bad Vibrations,Arcade Fire,"We can reach the sea
They won't follow me
Shadows they fear the sun
We'll make it if we run!

Run from the memory
Je nage, mais les sons me suivent

Left my name with the border guards
A name that I don't need
Ce sera un long voyage
Sur les vagues de l'oubli

Run from the memory
Je nage, mais les sons me suivent

Stop now before it's too late
Been eating in the ghetto on a hundred dollar plate
Nothing lasts forever
That's the way it's gotta be
There's a great black wave in the middle of the sea
For me

Stop now before it's too late 
Been eating in the ghetto on a hundred dollar plate
Nothing lasts forever
That's the way it's gotta be 
There's a great black wave in the middle of the sea
For me
For you 
For me
It's always for you 

Stop now before it's too late
Been eating in the ghetto on a hundred dollar plate
Nothing lasts forever
That's the way it's gotta be
There's a great black wave in the middle of the sea
For me

Stop now before it's too late
Your lover was for hire
Have you noticed he's been late
Nothing lasts forever
That's the way it's gotta be
There's a great black wave in the middle of the sea
For me
For you
For me
It's always for you

The sound is not asleep, it's moving under my feet
The sound is not asleep, it's moving under my feet
The sound is not asleep, it's moving under my feet
The sound is not asleep, it's moving under my feet",2007,sad
Bird Gerhl,Antony and the Johnsons,"I am a bird girl
I am a bird girl
I am a bird girl now 
I've got my heart 
Here in my hands
I've got my heart
Here in my hands now 
I've been searching 
For my wings
I've been searching
For my wings some time 
I'm gonna be born 
Gonna be born
Into soon the sky 
I'm gonna be born
Into soon the sky
'Cause I'm a bird girl 
And the bird girls go to heaven 
I'm a bird girl 
And the bird girls can fly 
Bird girls can fly
Bird girls can fly
Bird girls can fly",2005,sad
Teachers,Leonard Cohen,"I met a woman long ago 
her hair the black that black can go, 
Are you a teacher of the heart? 
Soft she answered no. 
I met a girl across the sea, 
her hair the gold that gold can be, 
Are you a teacher of the heart? 
Yes, but not for thee. 

I met a man who lost his mind 
in some lost place I had to find, 
follow me the wise man said, 
but he walked behind. 

I walked into a hospital 
where none was sick and none was well, 
when at night the nurses left 
I could not walk at all. 

Morning came and then came noon, 
dinner time a scalpel blade 
lay beside my silver spoon. 

Some girls wander by mistake 
into the mess that scalpels make. 
Are you the teachers of my heart? 
We teach old hearts to break. 

One morning I woke up alone, 
the hospital and the nurses gone. 
Have I carved enough my Lord? 
Child, you are a bone. 

I ate and ate and ate, 
no I did not miss a plate, well 
How much do these suppers cost? 
We'll take it out in hate. 

I spent my hatred everyplace, 
on every work on every face, 
someone gave me wishes 
and I wished for an embrace. 

Several girls embraced me, then 
I was embraced by men, 
Is my passion perfect? 
No, do it once again. 

I was handsome I was strong, 
I knew the words of every song. 
Did my singing please you? 
No, the words you sang were wrong. 

Who is it whom I address, 
who takes down what I confess? 
Are you the teachers of my heart? 
We teach old hearts to rest. 

Oh teachers are my lessons done? 
I cannot do another one. 
They laughed and laughed and said, Well child, 
are your lessons done? 
are your lessons done? 
are your lessons done?",1967,sad
Speed Trials,Elliott Smith,"He's pleased to meet you underneath the horse
In the cathedral with the glass stained black
Singing sweet high notes that echo back
To destroy their master
May be a long time 'til you get the call-up
But it's sure as fate and hard as your luck
No one'll know where you are

It's just a brief smile crossing your face
I'm running speed trials standing in place

When the socket's not a shock enough
You little child, what makes you think you're tough
When all the people you think you're above
They all know what's the matter
You're such a pinball, yeah you know it's true
There's always something you go back running to
To follow the path of no resistance

It's just a brief smile crossing your face
I'm running speed trials standing in place
It's just a brief smile crossing your face
Running speed trials all over the place",1997,sad
Ballad of Big Nothing,Elliott Smith,"Throwing candy out to the crowd, dragging down the main
The helpless little thing with the dirty mouth who's always got something to say
You're sitting around at home now waiting for your brother to call
I saw him down in the alley, having had enough of it all

Said you can do what you want to whenever you want to
You can do what you want to, there's no one to stop you

All spit and spite, you're up all night and down every day
A tired man with only hours to go just waiting to be taken away
Getting into the back of a car for candy from some stranger
Watching the parade with pinpoint eyes full of smoldering anger

You can do what you want to whenever you want to
You can do what you want to, there's no one to stop you
Now you can do what you want to whenever you want to
Do what you want to whenever you want to
Do what you want to whenever you want to though it doesn't mean a thing
Big nothing",1997,sad
Master Song,Leonard Cohen,"I believe that you heard your master sing 
when I was sick in bed. 
I suppose that he told you everything 
that I keep locked away in my head. 
Your master took you travelling, 
well at least that's what you said. 
And now do you come back to bring 
your prisoner wine and bread? 
You met him at some temple, where 
they take your clothes at the door. 
He was just a numberless man in a chair 
who'd just come back from the war. 
And you wrap up his tired face in your hair 
and he hands you the apple core. 
Then he touches your lips now so suddenly bare 
of all the kisses we put on some time before. 

And he gave you a German Shepherd to walk 
with a collar of leather and nails, 
and he never once made you explain or talk 
about all of the little details, 
such as who had a word and who had a rock, 
and who had you through the mails. 
Now your love is a secret all over the block, 
and it never stops not even when your master fails. 

And he took you up in his aeroplane, 
which he flew without any hands, 
and you cruised above the ribbons of rain 
that drove the crowd from the stands. 
Then he killed the lights in a lonely Lane 
and, an ape with angel glands, 
erased the final wisps of pain 
with the music of rubber bands. 

And now I hear your master sing, 
you kneel for him to come. 
His body is a golden string 
that your body is hanging from. 
His body is a golden string, 
my body has grown numb. 
Oh now you hear your master sing, 
your shirt is all undone. 

And will you kneel beside this bed 
that we polished so long ago, 
before your master chose instead 
to make my bed of snow? 
Your eyes are wild and your knuckles are red 
and you're speaking far too low. 
No I can't make out what your master said 
before he made you go. 

Then I think you're playing far too rough 
for a lady who's been to the moon; 
I've lain by this window long enough 
to get used to an empty room. 
And your love is some dust in an old man's cough 
who is tapping his foot to a tune, 
and your thighs are a ruin, you want too much, 
let's say you came back some time too soon. 

I loved your master perfectly 
I taught him all that he knew. 
He was starving in some deep mystery 
like a man who is sure what is true. 
And I sent you to him with my guarantee 
I could teach him something new, 
and I taught him how you would long for me 
no matter what he said no matter what you'd do. 

I believe that you heard your master sing 
while I was sick in bed, 
I'm sure that he told you everything 
I must keep locked away in my head. 
Your master took you travelling, 
well at least that's what you said, 
And now do you come back to bring 
your prisoner wine and bread?",1967,sad
Crown of Love,Arcade Fire,"They say it fades if you let it
Love was made to forget it 
I carved your name across my eyelids 
You pray for rain, I pray for blindness

If you still want me, please forgive me
The crown of love is falling from me. 
If you still want me, please forgive me 
Because the spark is not within me. 

I snuffed it out before my mom walked in my bedroom. 
The only thing that you keep changin' is your name
My love keeps growin' still the same 
Just like a cancer
And you won't give me a straight answer.

If you still want me, please forgive me 
The crown of love is falling from me. 
If you still want me, please forgive me 
Because your hands are not upon me. 

I shrugged them off before my mom walked in my bedroom. 
The pains of love
And they keep growin', 
In my heart there's flowers growin'
On the grave of our old love
Since you gave me a straight answer.

If you still want me, please forgive me
The crown of love is not upon me.
If you still want me, please forgive me,
Because the spark is not within me.
It's not within me.
It's not within me.
You gotta be the one,
You gotta be the way,
Your name is the only word that I can say!
You gotta be the one,
You gotta be the way,
Your name is the only word,
The only word that I can say!
Only word that I can say!",2004,sad
Winter,The Dodos,"I know if I'll make it through this winter without you by my side
I waited for you so long while I traveled far and wide
Convinced myself there's no one better, so how could I deny
Your love, it's like a thorn into my side

My friends they understand me better but don't whisper goodnight
I want a lover and a sister, but we know that's not right
You used to listen to my music, I always wondered why
I wish I could pretend you make me try

I want the days to come, I want these sleepless nights to end
I lie here thinking how I lost you to all your stupid friends
You made me feel so foolish for the twenty-second time
Your love might be the last time that I try

Don't know if I'll make it through this winter without you on my own
I waited here for you forever, I can't believe you'd go
I may not have the answers, but I'd rather never know
Your love was such a heavy, heavy blow

Goodnight my love, you seemed so nice 'til I knew you better
Now I can tell you're always thinking twice about what might be better
On the outside, there's no conscience, you're a victim of your cautiousness
You don't try, you just lie there hoping that someone will come to make it right",2008,sad
Blue Ridge Mountains,Fleet Foxes,"Lie down with me, my dear
Lie down
Under stormy night, tell nobody

My brother, where do you intend to go tonight?
I heard that you missed your connecting flight
To the Blue Ridge Mountains, over near Tennessee

You're ever welcome with me anytime you like
Let's drive to the countryside, leave behind some green-eyed look-alikes
So no one gets worried, no
So no one gets worried, no

But, Sean, don't get careless
I'm sure it'll be fine
I love you, I love you
Oh, brother of mine

In the quivering forest
Where the shivering dog rests
Our good grandfather
Built a wooden nest

And the river got frozen
And the home got snowed in
And a yellow moon glowed bright
Till the morning light

Terrible, am I, child?
Even if you don't mind

In the quivering forest
Where the shivering dog rests
Our good grandfather
Built a wooden nest

And the river got frozen
And the home got snowed in
And a yellow moon glowed bright
Till the morning light

Terrible, am I, child?
Even if you don't mind
No",2008,sad
In The Cold I'm Standing,M83,Something is coming now...,2005,sad
Last Days of Disco,Yo La Tengo,"Saw you at a party, you asked me to dance
Said the music was great for dancing
I don't really dance much, but this time I did
And I was glad that I did this time

And the song said ""Let's be happy,"" I was happy
It never made me happy before
And the song said ""Don't be lonely,"" it makes me lonely
I hear it and I'm lonely more and more

Where I belong
Where I belong

I wasn't dressed right, I rarely am
You told me that you didn't care
I laughed as you wobbled in your platform shoes
You laughed when I called Andrea true Anita Ward

And the song said ""Let's be happy,"" I was happy
It never made me happy before
And the song said ""Don't be lonely,"" it makes me lonely
I hear it and I'm lonely more and more

Where I belong
Where I belong

And the song said ""Let's be happy,"" I was happy
It never made me happy before
It asked ""Do you remember?"" and I remember
Remember like it wasn't long ago

And the song said ""Don't be lonely,"" it makes me lonely
I hear it and I'm lonely more and more
Where I belong
Where I belong",2000,sad
Carry the Zero,Built to Spill,"I'm not knocking your want to carry that home
Took it with you when you moved and got it broke
Found the pieces, we counted them all alone
Didn't add up, forgot to carry a zero

I can't be your apologist very long
I'm surprised that you'd want to carry that on
Count your blemishes, you can't, they're all gone
I can't see your response putting them back on

Like they're waiting for your guard to fall
So they can see it all and you're so
Occupied with what other persons are
Occupied with, and vice versa

And you've become what you thought was dumb
A fraction of the sum
Yeah, you've become, yeah, you have become
A fraction of the sum, the middle and the front

And now it's coming back
Hasn't it come too far?
I was trying to help, but
I guess I pushed too hard

Now we can't even touch it
Afraid it'll fall apart",1999,sad
Tomorrow Tomorrow,Elliott Smith,"Everybody knows which way you go, straight to over
No one wants to see you inside of me, straight to over
I heard the hammer at the lock 
Say you're deaf and dumb and done
Give yourself another talk 
This time make it sound like someone

The noise is coming out, and if it's not out now
Then tomorrow, tomorrow
They took your life apart and called you failure's art
They were wrong though, they won't know
'Til tomorrow

I got static in my head
The reflected sound of everything
Tried to go to where it led
But it didn't lead to anything

The noise is coming out, but if it's not out now
I know it's just about to drown tomorrow out",1998,sad
Lion's Mane,Iron & Wine,"Run like a race for family
When you hear like you're alone
The rusted gears of morning
To faceless busy phones
We gladly run in circles
But the shape we meant to make is gone

Love is a tired symphony
You hum when you're awake
Love is a crying baby
Mama warned you not to shake
Love is the best sensation
Hiding in the lion's mane

So I'll clear the road, the gravel
And the thornbush in your path
That burns a scented oil
That I'll drip into your bath
The water's there to warm you
And the earth is warmer
When you laugh

Love is a scene I render
When you catch me wide awake
Love's a dream you enter
Though I shake and shake and shake you
Love is the best endeavor
Waiting in the lion's mane",2002,sad
Displaced,Azure Ray,"It's just a simple line
I can still hear it all of the time
If I can just hold on tonight
I'll know that nothing
nothing survives
nothing survives

I think I'm turned around
I'm looking up not looking down
and when I'm standing still
watching you run
watching you fall, fall into me

Am I making something worthwhile out of this place
Am I making something worthwhile out of this chase

I am displaced, I am displaced

And shes my friend of all friends
shes still here when everyone's gone
she doesn't have to say a thing
we'll just keep laughing 
all night long, all night long

Am I making something worthwhile out of this place
Am I making something worthwhile out of this chase

I am displaced, I am displaced

It's just a simple line 
I can still hear it all of the time
If I can just hold on tonight
I know that no one 
no one survives, no one survives",2001,sad
The Drinks We Drank Last Night,Azure Ray,"Riding on these waves,
holding on to what you say,
""Everything will be okay,
it will work out one way.""

But I've drifted way too far,
my arms, my legs, have grown too tired.
And could you be inspired?
No, I'm just tired.

And on a swing you push me hard,
so I'll come back to where you are.
And you know I'm never far.
No decisions, nothing hard.

And I knew that it would rain tonight,
I'll take the bus or the next flight.
I won't give up on what feels right.

If you see these tears filling my eyes,
it's just the wind that makes me cry.
If you could feel this pain inside,
it's from the drinks we drank last night.
It's from the drinks we drank last night.  

And the shadow of our past,
projects on clouds of dust and gas.
Wounds where my eyes will rest,
the silhouette of loneliness.  

If you see these tears filling my eyes,
it's just the wind that makes me cry.
If you could feel this pain inside,
it's from the drinks we drank last night.
It's from the drinks we drank last night.",2003,sad
